"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
7.87112698421434e-184	1.33400835555563	0.556	0.666	1.39822699747584e-179	"CC07"	"LIMS1"
5.08808593446433e-183	0.927661525240967	0.484	0.599	9.03847585398244e-179	"CC07"	"MIER1"
9.56347542830587e-182	10.8384176213334	0.579	0.485	1.69885577508425e-177	"CC07"	"PDLIM3"
2.07473836885469e-181	0.952211102104886	0.295	0.409	3.68556523843348e-177	"CC07"	"SRSF9"
6.24380660833566e-181	5.14997573251622	0.762	0.852	1.10914980590475e-176	"CC07"	"LITAF"
5.26958710715629e-179	19.2204060385165	0.354	0.467	9.36089453715244e-175	"CC07"	"MX2"
2.0072588058643e-178	15.8833440199829	0.463	0.361	3.56569454273734e-174	"CC07"	"PTPRC"
5.86493414820177e-178	7.33720282564583	0.393	0.512	1.04184690208656e-173	"CC07"	"TEAD1"
6.25180691756471e-177	1.2360515943662	0.322	0.218	1.11057098083619e-172	"CC07"	"HCLS1"
1.89408034707795e-176	2.83130915524744	0.387	0.499	3.36464432854927e-172	"CC07"	"SLC25A28"
2.7207461259699e-176	43.3933483542081	0.423	0.321	4.83313341817292e-172	"CC07"	"CD37"
4.8471340445708e-175	0.987242875054441	0.381	0.496	8.61044891677557e-171	"CC07"	"FIBP"
1.39704160359824e-174	5.81051936335399	0.563	0.67	2.48170470463191e-170	"CC07"	"CDC42SE2"
2.38717120386282e-174	2.11753189250582	0.364	0.26	4.24057092654191e-170	"CC07"	"GMFG"
8.26414333055896e-174	1.91838885501012	0.471	0.578	1.46804242124049e-169	"CC07"	"RAC2"
1.30854379315973e-172	14.1569204749658	0.572	0.475	2.32449719416895e-168	"CC07"	"CRISPLD2"
5.58448403861233e-172	10.072552795501	0.317	0.431	9.92027744619095e-168	"CC07"	"CLIC3"
1.94567303041341e-171	25.7081330474271	0.906	0.893	3.45629357122638e-167	"CC07"	"ACTA2"
2.60254523863731e-171	2.62049575706551	0.297	0.407	4.62316136191532e-167	"CC07"	"RSRC1"
4.2300800794625e-171	2.69343132593342	0.428	0.322	7.51431425315718e-167	"CC07"	"FXYD6"
1.70069091517471e-170	12.7185737408032	0.316	0.215	3.02110734171635e-166	"CC07"	"IKZF1"
3.0733745893291e-170	2.82460045660502	0.643	0.744	5.45954262048422e-166	"CC07"	"GRN"
7.75890422198572e-170	0.679860921541951	0.514	0.622	1.37829174599354e-165	"CC07"	"APEX1"
2.01328592488671e-169	7.49706891906932	0.703	0.79	3.57640111696875e-165	"CC07"	"LTBP3"
5.05064160986361e-169	0.904730575114691	0.436	0.549	8.97195975576172e-165	"CC07"	"ATP6V0E1"
