orig.ident	CompositionCluster_CC	cell_type	median_ct_prop
S20-5578-A4	CC1	myCAF	0.0599013239359669
S20-5578-A4	CC10	Bcell	0.0212054165695582
S20-5578-A4	CC10	C1Q_TAMs	0.0222315978155669
S20-5578-A4	CC10	CD4_conv	0.000309728351054922
S20-5578-A4	CC10	CD8_NK	0.0156822938237262
S20-5578-A4	CC10	Dendritic_cells	0.0123574507058707
S20-5578-A4	CC10	Endothelial	0.0686590686923616
S20-5578-A4	CC10	FCN1_TAMs	0.00674982872669767
S20-5578-A4	CC10	Normal_epithelium	0.491118458947393
S20-5578-A4	CC10	PVL	0.0115541144126362
S20-5578-A4	CC10	SPP1_TAMs	0.000212878604650453
S20-5578-A4	CC10	Tregs	0.0301950035616797
S20-5578-A4	CC10	Tumor_epithelium	0.0523912230855023
S20-5578-A4	CC10	iCAF	0.0346488834315277
S20-5578-A4	CC10	mast_cells	0.00821542187472625
S20-5578-A4	CC10	myCAF	0.0476367205686157
S20-5578-A4	CC2	Bcell	0.0246812802480553
S20-5578-A4	CC2	C1Q_TAMs	0.0246356292808343
S20-5578-A4	CC2	CD4_conv	0.000775209751641642
S20-5578-A4	CC2	CD8_NK	0.0288717067578812
S20-5578-A4	CC2	Dendritic_cells	0.0295447860012474
S20-5578-A4	CC2	Endothelial	0.107963922109927
S20-5578-A4	CC2	FCN1_TAMs	0.00755525534727834
S20-5578-A4	CC2	Normal_epithelium	0.0730250435717666
S20-5578-A4	CC2	PVL	0.0441796831753004
S20-5578-A4	CC2	SPP1_TAMs	0.000673268195140797
S20-5578-A4	CC2	Tregs	0.0370862478556858
S20-5578-A4	CC2	Tumor_epithelium	0.215837092740075
S20-5578-A4	CC2	iCAF	0.0679032689930339
S20-5578-A4	CC2	mast_cells	0.0164964663863362
S20-5578-A4	CC2	myCAF	0.114589931128462
S20-5578-A4	CC3	Bcell	7.1375628866581e-05
S20-5578-A4	CC3	C1Q_TAMs	0.254758522290104
S20-5578-A4	CC3	CD4_conv	0.0370663929477353
S20-5578-A4	CC3	CD8_NK	0.0153115155069053
S20-5578-A4	CC3	Dendritic_cells	0.074484800531609
S20-5578-A4	CC3	Endothelial	0.0916738430664375
S20-5578-A4	CC3	FCN1_TAMs	0.155220046169941
S20-5578-A4	CC3	Normal_epithelium	7.13756282603728e-05
S20-5578-A4	CC3	PVL	0.0366573323634157
S20-5578-A4	CC3	SPP1_TAMs	0.0132734021817246
S20-5578-A4	CC3	Tregs	0.00438254545698565
S20-5578-A4	CC3	Tumor_epithelium	7.13756282900421e-05
S20-5578-A4	CC3	iCAF	0.194424549201326
S20-5578-A4	CC3	mast_cells	0.000126419740172933
S20-5578-A4	CC3	myCAF	7.90901550406914e-05
S20-5578-A4	CC4	Bcell	0.000196947645235581
S20-5578-A4	CC4	C1Q_TAMs	0.00939214411552651
S20-5578-A4	CC4	CD4_conv	0.0076062064895459
S20-5578-A4	CC4	CD8_NK	0.00315589617499109
S20-5578-A4	CC4	Dendritic_cells	0.00667589059092132
S20-5578-A4	CC4	Endothelial	0.0587868315547495
S20-5578-A4	CC4	FCN1_TAMs	0.0115634331657334
S20-5578-A4	CC4	Normal_epithelium	0.0057991895997502
S20-5578-A4	CC4	PVL	0.0269412935513631
S20-5578-A4	CC4	SPP1_TAMs	0.000194043010286593
S20-5578-A4	CC4	Tregs	0.00683194438362364
S20-5578-A4	CC4	Tumor_epithelium	0.659330634561602
S20-5578-A4	CC4	iCAF	0.0126637255708197
S20-5578-A4	CC4	mast_cells	0.00237389502733122
S20-5578-A4	CC4	myCAF	0.109658248655654
S20-5578-A4	CC5	Bcell	0.011680664095403
S20-5578-A4	CC5	C1Q_TAMs	0.0188588439198362
S20-5578-A4	CC5	CD4_conv	0.000677404143252617
S20-5578-A4	CC5	CD8_NK	0.00785389281976349
S20-5578-A4	CC5	Dendritic_cells	0.0122153649946441
S20-5578-A4	CC5	Endothelial	0.0856763322385359
S20-5578-A4	CC5	FCN1_TAMs	0.00853346917286743
S20-5578-A4	CC5	Normal_epithelium	0.0316703507990891
S20-5578-A4	CC5	PVL	0.0314277929363059
S20-5578-A4	CC5	SPP1_TAMs	0.000315513754324322
S20-5578-A4	CC5	Tregs	0.0228973184917477
S20-5578-A4	CC5	Tumor_epithelium	0.421549604494246
S20-5578-A4	CC5	iCAF	0.0283893430780369
S20-5578-A4	CC5	mast_cells	0.00752108335692423
S20-5578-A4	CC5	myCAF	0.129677288163568
S20-5578-A4	CC6	Bcell	0.000946429527576635
S20-5578-A4	CC6	C1Q_TAMs	0.0722899917921005
S20-5578-A4	CC6	CD4_conv	2.85032395003473e-05
S20-5578-A4	CC6	CD8_NK	2.93931115226918e-05
S20-5578-A4	CC6	Dendritic_cells	4.24996238275715e-05
S20-5578-A4	CC6	Endothelial	0.131684093209587
S20-5578-A4	CC6	FCN1_TAMs	3.93684452114573e-05
S20-5578-A4	CC6	Normal_epithelium	2.6607218940553e-05
S20-5578-A4	CC6	PVL	0.0829491775285641
S20-5578-A4	CC6	SPP1_TAMs	7.06088628854301e-05
S20-5578-A4	CC6	Tregs	3.79395620531789e-05
S20-5578-A4	CC6	Tumor_epithelium	2.82640514267646e-05
