Genes	Subtype
Iqgap1	cCAF:Raghu_Kalluri
Ptgs2	cCAF:Raghu_Kalluri
Fhl2	cCAF:Raghu_Kalluri
Sh3Glb1	cCAF:Raghu_Kalluri
Itgb5	cCAF:Raghu_Kalluri
Rhoc	cCAF:Raghu_Kalluri
Bex3	cCAF:Raghu_Kalluri
Mpp6	cCAF:Raghu_Kalluri
Ubc	cCAF:Raghu_Kalluri
B4Galt5	cCAF:Raghu_Kalluri
Aldoa	cCAF:Raghu_Kalluri
Cdc42Ep3	cCAF:Raghu_Kalluri
Prrx1	cCAF:Raghu_Kalluri
Cdkn1A	cCAF:Raghu_Kalluri
Tpm1	cCAF:Raghu_Kalluri
P4Hb	cCAF:Raghu_Kalluri
Ctsk	cCAF:Raghu_Kalluri
Ckap4	cCAF:Raghu_Kalluri
Map1B	cCAF:Raghu_Kalluri
Minos1	cCAF:Raghu_Kalluri
Prdx6	cCAF:Raghu_Kalluri
Fst	cCAF:Raghu_Kalluri
Fxyd6	cCAF:Raghu_Kalluri
Cnn3	cCAF:Raghu_Kalluri
Hdlbp	cCAF:Raghu_Kalluri
Mrfap1	cCAF:Raghu_Kalluri
Tacc1	cCAF:Raghu_Kalluri
Sox4	cCAF:Raghu_Kalluri
Ctsd	cCAF:Raghu_Kalluri
Prnp	cCAF:Raghu_Kalluri
Mmd	cCAF:Raghu_Kalluri
Col5A3	cCAF:Raghu_Kalluri
Tspan3	cCAF:Raghu_Kalluri
Psmd1	cCAF:Raghu_Kalluri
Bnip3	cCAF:Raghu_Kalluri
Serpine1	cCAF:Raghu_Kalluri
Cstb	cCAF:Raghu_Kalluri
Loxl1	cCAF:Raghu_Kalluri
Mxra8	cCAF:Raghu_Kalluri
Fam162A	cCAF:Raghu_Kalluri
Ptger3	cCAF:Raghu_Kalluri
Selenof	cCAF:Raghu_Kalluri
Cyr61	cCAF:Raghu_Kalluri
Btg2	cCAF:Raghu_Kalluri
Serpinf1	cCAF:Raghu_Kalluri
P4Ha1	cCAF:Raghu_Kalluri
Tagln2	cCAF:Raghu_Kalluri
Rab2A	cCAF:Raghu_Kalluri
Selenos	cCAF:Raghu_Kalluri
Cryab	cCAF:Raghu_Kalluri
H1F0	cCAF:Raghu_Kalluri
Slc3A2	cCAF:Raghu_Kalluri
Pla1A	cCAF:Raghu_Kalluri
Nbl1	cCAF:Raghu_Kalluri
Plat	cCAF:Raghu_Kalluri
Hilpda	cCAF:Raghu_Kalluri
Tmed9	cCAF:Raghu_Kalluri
Mfge8	cCAF:Raghu_Kalluri
Tmem176B	cCAF:Raghu_Kalluri
Col1A2	cCAF:Raghu_Kalluri
Vegfa	cCAF:Raghu_Kalluri
Prelid1	cCAF:Raghu_Kalluri
Sfrp1	cCAF:Raghu_Kalluri
Serpina3N	cCAF:Raghu_Kalluri
Fermt2	cCAF:Raghu_Kalluri
Tgm2	cCAF:Raghu_Kalluri
Rack1	cCAF:Raghu_Kalluri
Tcf4	cCAF:Raghu_Kalluri
Ostf1	cCAF:Raghu_Kalluri
Gm12840	cCAF:Raghu_Kalluri
Phlda3	cCAF:Raghu_Kalluri
Id3	cCAF:Raghu_Kalluri
Tuba1A	cCAF:Raghu_Kalluri
Cnn2	cCAF:Raghu_Kalluri
Capg	cCAF:Raghu_Kalluri
Myl9	cCAF:Raghu_Kalluri
Tceal8	cCAF:Raghu_Kalluri
Fxyd5	cCAF:Raghu_Kalluri
Cygb	cCAF:Raghu_Kalluri
Adamts2	cCAF:Raghu_Kalluri
Tubb6	cCAF:Raghu_Kalluri
Thbs1	cCAF:Raghu_Kalluri
Arpc2	cCAF:Raghu_Kalluri
Col6A1	cCAF:Raghu_Kalluri
Igfbp3	cCAF:Raghu_Kalluri
1810058I24Rik	cCAF:Raghu_Kalluri
Tmem45A	cCAF:Raghu_Kalluri
Tmem59	cCAF:Raghu_Kalluri
Malat1	cCAF:Raghu_Kalluri
Lhfp	cCAF:Raghu_Kalluri
Pcsk5	cCAF:Raghu_Kalluri
Rhob	cCAF:Raghu_Kalluri
Snhg18	cCAF:Raghu_Kalluri
Lgmn	cCAF:Raghu_Kalluri
Smoc2	cCAF:Raghu_Kalluri
Fkbp1A	cCAF:Raghu_Kalluri
Calm1	cCAF:Raghu_Kalluri
Sgk1	cCAF:Raghu_Kalluri
Eef2	cCAF:Raghu_Kalluri
Nupr1	cCAF:Raghu_Kalluri
Lgals1	cCAF:Raghu_Kalluri
Tmsb4X	cCAF:Raghu_Kalluri
Fbln2	cCAF:Raghu_Kalluri
Col6A3	cCAF:Raghu_Kalluri
Hspa1A	cCAF:Raghu_Kalluri
Rasl11A	cCAF:Raghu_Kalluri
Gpi1	cCAF:Raghu_Kalluri
Cd9	cCAF:Raghu_Kalluri
Ndrg1	cCAF:Raghu_Kalluri
Zfp36	cCAF:Raghu_Kalluri
Actg1	cCAF:Raghu_Kalluri
Cpxm1	cCAF:Raghu_Kalluri
Chl1	cCAF:Raghu_Kalluri
Vim	cCAF:Raghu_Kalluri
Col6A2	cCAF:Raghu_Kalluri
Il6	cCAF:Raghu_Kalluri
Col4A1	cCAF:Raghu_Kalluri
Npc2	cCAF:Raghu_Kalluri
G0S2	cCAF:Raghu_Kalluri
Abi3Bp	cCAF:Raghu_Kalluri
Eln	cCAF:Raghu_Kalluri
Jun	cCAF:Raghu_Kalluri
Lbp	cCAF:Raghu_Kalluri
Nfkbia	cCAF:Raghu_Kalluri
Cebpb	cCAF:Raghu_Kalluri
Pltp	cCAF:Raghu_Kalluri
Cilp	cCAF:Raghu_Kalluri
Myl12A	cCAF:Raghu_Kalluri
Itm2A	cCAF:Raghu_Kalluri
Fn1	cCAF:Raghu_Kalluri
Penk	cCAF:Raghu_Kalluri
Lgals3	cCAF:Raghu_Kalluri
Gas6	cCAF:Raghu_Kalluri
Saa3	eCAF:Raghu_Kalluri
Slpi	eCAF:Raghu_Kalluri
Calca	eCAF:Raghu_Kalluri
Gm10260	eCAF:Raghu_Kalluri
Lgals7	eCAF:Raghu_Kalluri
Cxadr	eCAF:Raghu_Kalluri
Cldn10	eCAF:Raghu_Kalluri
Trem2	eCAF:Raghu_Kalluri
Cd14	eCAF:Raghu_Kalluri
Gm11361	eCAF:Raghu_Kalluri
Gjb5	eCAF:Raghu_Kalluri
Cdh2	eCAF:Raghu_Kalluri
Gjb3	eCAF:Raghu_Kalluri
Npl	eCAF:Raghu_Kalluri
Nkain4	eCAF:Raghu_Kalluri
Tuba4A	eCAF:Raghu_Kalluri
Egln3	eCAF:Raghu_Kalluri
Hspb1	eCAF:Raghu_Kalluri
Cxcl13	eCAF:Raghu_Kalluri
Cldn3	eCAF:Raghu_Kalluri
Enpp2	eCAF:Raghu_Kalluri
Ccl2	eCAF:Raghu_Kalluri
Ldhb	eCAF:Raghu_Kalluri
Slc9A3R1	eCAF:Raghu_Kalluri
Tnfaip3	eCAF:Raghu_Kalluri
Upk1B	eCAF:Raghu_Kalluri
Abcb1B	eCAF:Raghu_Kalluri
Hdc	eCAF:Raghu_Kalluri
Tst	eCAF:Raghu_Kalluri
Spint2	eCAF:Raghu_Kalluri
Upk3B	eCAF:Raghu_Kalluri
Ptgis	eCAF:Raghu_Kalluri
Nnmt	eCAF:Raghu_Kalluri
Sdc4	eCAF:Raghu_Kalluri
Lrrn4	eCAF:Raghu_Kalluri
Sod2	eCAF:Raghu_Kalluri
Fabp5	eCAF:Raghu_Kalluri
Fcor	eCAF:Raghu_Kalluri
Isyna1	eCAF:Raghu_Kalluri
Stmn2	eCAF:Raghu_Kalluri
Cav1	eCAF:Raghu_Kalluri
Cd38	eCAF:Raghu_Kalluri
Tmem37	eCAF:Raghu_Kalluri
Krt8	eCAF:Raghu_Kalluri
Fth1	eCAF:Raghu_Kalluri
Bicd1	eCAF:Raghu_Kalluri
Rpp25	eCAF:Raghu_Kalluri
Cxcl2	eCAF:Raghu_Kalluri
Clu	eCAF:Raghu_Kalluri
Trf	eCAF:Raghu_Kalluri
Dmkn	eCAF:Raghu_Kalluri
Tmem119	eCAF:Raghu_Kalluri
Myrf	eCAF:Raghu_Kalluri
Gapdh	eCAF:Raghu_Kalluri
Nr4A2	eCAF:Raghu_Kalluri
Tnfrsf12A	eCAF:Raghu_Kalluri
Rpl12	eCAF:Raghu_Kalluri
Ctsl	eCAF:Raghu_Kalluri
Gsta4	eCAF:Raghu_Kalluri
Lgals1	eCAF:Raghu_Kalluri
Gm12840	eCAF:Raghu_Kalluri
Rpl23	eCAF:Raghu_Kalluri
Tpi1	eCAF:Raghu_Kalluri
