Genes	Subtype
SET	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
LGALS3BP	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
ID2	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
GSTO1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
GM8186	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
DMBT1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
HMGB2	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
WFDC2	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
SLC12A2	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
APRT	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
H2AFY	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
CKMT1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
LY6E	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
SOX9	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
FOXQ1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
FDPS	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
PTGR1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
NCL	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
PTP4A2	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
GFPT1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
HNRNPH1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
PRRC2C	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
2200002D01RIK	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
GOLM1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
IQGAP2	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
PSME1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
ID1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
CD2AP	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
ID3	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
BPIFB1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
FERMT1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
S100A6	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
NFIB	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
LDHB	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
MGST1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
CTSE	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
CCNL1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
SFPQ	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
GKN3	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
BST2	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
