Genes	Subtype
SELENOH	B cells 3:Raghu_Kalluri
RFC5	B cells 3:Raghu_Kalluri
XRCC1	B cells 3:Raghu_Kalluri
POLD1	B cells 3:Raghu_Kalluri
POLD4	B cells 3:Raghu_Kalluri
IGLC3	B cells 3:Raghu_Kalluri
TFDP1	B cells 3:Raghu_Kalluri
RASGRP3	B cells 3:Raghu_Kalluri
EBF1	B cells 3:Raghu_Kalluri
ERH	B cells 3:Raghu_Kalluri
PPIL1	B cells 3:Raghu_Kalluri
MYL4	B cells 3:Raghu_Kalluri
CENPA	B cells 3:Raghu_Kalluri
TRP53I11	B cells 3:Raghu_Kalluri
ERP44	B cells 3:Raghu_Kalluri
PRR5	B cells 3:Raghu_Kalluri
RFC1	B cells 3:Raghu_Kalluri
IFT22	B cells 3:Raghu_Kalluri
IGHG1	B cells 3:Raghu_Kalluri
DNAJC9	B cells 3:Raghu_Kalluri
TUBA1B	B cells 3:Raghu_Kalluri
CMPK1	B cells 3:Raghu_Kalluri
SMCO4	B cells 3:Raghu_Kalluri
GGA2	B cells 3:Raghu_Kalluri
CFL1	B cells 3:Raghu_Kalluri
SMS	B cells 3:Raghu_Kalluri
CENPW	B cells 3:Raghu_Kalluri
GRB2	B cells 3:Raghu_Kalluri
SMC2	B cells 3:Raghu_Kalluri
ALYREF	B cells 3:Raghu_Kalluri
UBE2S	B cells 3:Raghu_Kalluri
H2AFZ	B cells 3:Raghu_Kalluri
ANP32E	B cells 3:Raghu_Kalluri
TOP1	B cells 3:Raghu_Kalluri
PPIA	B cells 3:Raghu_Kalluri
PCNA	B cells 3:Raghu_Kalluri
SLC25A5	B cells 3:Raghu_Kalluri
NASP	B cells 3:Raghu_Kalluri
RBM3	B cells 3:Raghu_Kalluri
POU2F2	B cells 3:Raghu_Kalluri
LSM5	B cells 3:Raghu_Kalluri
NUDT21	B cells 3:Raghu_Kalluri
H2AFV	B cells 3:Raghu_Kalluri
SNRPD1	B cells 3:Raghu_Kalluri
SWAP70	B cells 3:Raghu_Kalluri
SMIM14	B cells 3:Raghu_Kalluri
HAT1	B cells 3:Raghu_Kalluri
SRSF3	B cells 3:Raghu_Kalluri
IGHG2B	B cells 3:Raghu_Kalluri
LSM3	B cells 3:Raghu_Kalluri
CD22	B cells 3:Raghu_Kalluri
CHCHD10	B cells 3:Raghu_Kalluri
POLR2G	B cells 3:Raghu_Kalluri
LSM6	B cells 3:Raghu_Kalluri
CCDC50	B cells 3:Raghu_Kalluri
DCAF12	B cells 3:Raghu_Kalluri
OAZ1	B cells 3:Raghu_Kalluri
TCEA1	B cells 3:Raghu_Kalluri
GTF2A2	B cells 3:Raghu_Kalluri
SP140	B cells 3:Raghu_Kalluri
PHF5A	B cells 3:Raghu_Kalluri
H3F3A	B cells 3:Raghu_Kalluri
SNRPE	B cells 3:Raghu_Kalluri
BACH2	B cells 3:Raghu_Kalluri
LSM2	B cells 3:Raghu_Kalluri
PTP4A3	B cells 3:Raghu_Kalluri
TUBB4B	B cells 3:Raghu_Kalluri
RFTN1	B cells 3:Raghu_Kalluri
TUBB5	B cells 3:Raghu_Kalluri
DDX39	B cells 3:Raghu_Kalluri
RPA3	B cells 3:Raghu_Kalluri
GAPDH	B cells 3:Raghu_Kalluri
SMC4	B cells 3:Raghu_Kalluri
SNRPA1	B cells 3:Raghu_Kalluri
LAT2	B cells 3:Raghu_Kalluri
TMPO	B cells 3:Raghu_Kalluri
