Genes	Subtypes
ACTG1	CD4-CXCL13:Chantale-canc Disc_2022
IFITM3	CD4-CXCL13:Chantale-canc Disc_2022
LAG3	CD4-CXCL13:Chantale-canc Disc_2022
MIF	CD4-CXCL13:Chantale-canc Disc_2022
PFN1	CD4-CXCL13:Chantale-canc Disc_2022
CD96	CD4-CXCL13:Chantale-canc Disc_2022
HMGB1	CD4-CXCL13:Chantale-canc Disc_2022
STMN1	CD4-CXCL13:Chantale-canc Disc_2022
PSME2	CD4-CXCL13:Chantale-canc Disc_2022
MTHFD2	CD4-CXCL13:Chantale-canc Disc_2022
NAP1L4	CD4-CXCL13:Chantale-canc Disc_2022
SMS	CD4-CXCL13:Chantale-canc Disc_2022
MT1E	CD4-CXCL13:Chantale-canc Disc_2022
PTPRC	CD4-CXCL13:Chantale-canc Disc_2022
CD2	CD4-CXCL13:Chantale-canc Disc_2022
CD3D	CD4-CXCL13:Chantale-canc Disc_2022
SNX9	CD4-CXCL13:Chantale-canc Disc_2022
ACTB	CD4-CXCL13:Chantale-canc Disc_2022
HMGN2	CD4-CXCL13:Chantale-canc Disc_2022
TMSB4X	CD4-CXCL13:Chantale-canc Disc_2022
S100A11	CD4-CXCL13:Chantale-canc Disc_2022
CHN1	CD4-CXCL13:Chantale-canc Disc_2022
RNF19A	CD4-CXCL13:Chantale-canc Disc_2022
SMCO4	CD4-CXCL13:Chantale-canc Disc_2022
TOX	CD4-CXCL13:Chantale-canc Disc_2022
SOD1	CD4-CXCL13:Chantale-canc Disc_2022
IGFL2	CD4-CXCL13:Chantale-canc Disc_2022
PKM	CD4-CXCL13:Chantale-canc Disc_2022
MIR155HG	CD4-CXCL13:Chantale-canc Disc_2022
IFNG	CD4-CXCL13:Chantale-canc Disc_2022
NUDT16	CD4-CXCL13:Chantale-canc Disc_2022
MT1X	CD4-CXCL13:Chantale-canc Disc_2022
RARRES3	CD4-CXCL13:Chantale-canc Disc_2022
DUSP2	CD4-CXCL13:Chantale-canc Disc_2022
NFATC2	CD4-CXCL13:Chantale-canc Disc_2022
PTPN7	CD4-CXCL13:Chantale-canc Disc_2022
GNG4	CD4-CXCL13:Chantale-canc Disc_2022
LSP1	CD4-CXCL13:Chantale-canc Disc_2022
PLIN2	CD4-CXCL13:Chantale-canc Disc_2022
CD99	CD4-CXCL13:Chantale-canc Disc_2022
PTMS	CD4-CXCL13:Chantale-canc Disc_2022
CLECL1	CD4-CXCL13:Chantale-canc Disc_2022
AC004585.1	CD4-CXCL13:Chantale-canc Disc_2022
AC018816.1	CD4-CXCL13:Chantale-canc Disc_2022
NINJ2	CD4-CXCL13:Chantale-canc Disc_2022
ISG20	CD4-CXCL13:Chantale-canc Disc_2022
AHI1	CD4-CXCL13:Chantale-canc Disc_2022
ARAP2	CD4-CXCL13:Chantale-canc Disc_2022
TSHZ2	CD4-CXCL13:Chantale-canc Disc_2022
HCST	CD4-CXCL13:Chantale-canc Disc_2022
IGFBP4	CD4-CXCL13:Chantale-canc Disc_2022
AIF1	CD4-CXCL13:Chantale-canc Disc_2022
B2M	CD4-CXCL13:Chantale-canc Disc_2022
CLIC3	CD4-CXCL13:Chantale-canc Disc_2022
SUPT3H	CD4-CXCL13:Chantale-canc Disc_2022
METTL8	CD4-CXCL13:Chantale-canc Disc_2022
TUBA3D	CD4-CXCL13:Chantale-canc Disc_2022
BHLHE40-AS1	CD4-CXCL13:Chantale-canc Disc_2022
GGA2	CD4-CXCL13:Chantale-canc Disc_2022
LINC01281	CD4-CXCL13:Chantale-canc Disc_2022
SLC4A7	CD4-CXCL13:Chantale-canc Disc_2022
ANKRD28	CD4-CXCL13:Chantale-canc Disc_2022
LMNB1	CD4-CXCL13:Chantale-canc Disc_2022
CST7	CD4-CXCL13:Chantale-canc Disc_2022
NUSAP1	CD4-CXCL13:Chantale-canc Disc_2022
CPM	CD4-CXCL13:Chantale-canc Disc_2022
CDO1	CD4-CXCL13:Chantale-canc Disc_2022
ADAM19	CD4-CXCL13:Chantale-canc Disc_2022
SARDH	CD4-CXCL13:Chantale-canc Disc_2022
SNAP47	CD4-CXCL13:Chantale-canc Disc_2022
VCAM1	CD4-CXCL13:Chantale-canc Disc_2022
MRPL1	CD4-CXCL13:Chantale-canc Disc_2022
LRRFIP1	CD4-CXCL13:Chantale-canc Disc_2022
NDFIP2	CD4-CXCL13:Chantale-canc Disc_2022
PRDM1	CD4-CXCL13:Chantale-canc Disc_2022
LDLRAD4	CD4-CXCL13:Chantale-canc Disc_2022
ITGA2	CD4-CXCL13:Chantale-canc Disc_2022
CKS2	CD4-CXCL13:Chantale-canc Disc_2022
TBX21	CD4-CXCL13:Chantale-canc Disc_2022
KCNK5	CD4-CXCL13:Chantale-canc Disc_2022
C12orf75	CD4-CXCL13:Chantale-canc Disc_2022
LINC01480	CD4-CXCL13:Chantale-canc Disc_2022
ADGRG1	CD4-CXCL13:Chantale-canc Disc_2022
LHFPL6	CD4-CXCL13:Chantale-canc Disc_2022
IFIT1	CD4-MX1:Chantale-canc Disc_2022
IFIT3	CD4-MX1:Chantale-canc Disc_2022
RSAD2	CD4-MX1:Chantale-canc Disc_2022
IFIT2	CD4-MX1:Chantale-canc Disc_2022
MX1	CD4-MX1:Chantale-canc Disc_2022
TNFSF10	CD4-MX1:Chantale-canc Disc_2022
LAMP3	CD4-MX1:Chantale-canc Disc_2022
XAF1	CD4-MX1:Chantale-canc Disc_2022
SMARCD3	CD4-MX1:Chantale-canc Disc_2022
NCOA2	CD4-MX1:Chantale-canc Disc_2022
ERN1	CD4-MX1:Chantale-canc Disc_2022
IFI6	CD4-MX1:Chantale-canc Disc_2022
CAPG	CD4-MX1:Chantale-canc Disc_2022
GYG1	CD4-MX1:Chantale-canc Disc_2022
PDE4DIP	CD4-MX1:Chantale-canc Disc_2022
RMRP	CD4-MX1:Chantale-canc Disc_2022
IFI44L	CD4-MX1:Chantale-canc Disc_2022
IRF7	CD4-MX1:Chantale-canc Disc_2022
OASL	CD4-MX1:Chantale-canc Disc_2022
OAS1	CD4-MX1:Chantale-canc Disc_2022
IFITM1	CD4-MX1:Chantale-canc Disc_2022
LY6E	CD4-MX1:Chantale-canc Disc_2022
SIDT1	CD4-MX1:Chantale-canc Disc_2022
TBC1D2B	CD4-MX1:Chantale-canc Disc_2022
CCR2	CD4-MX1:Chantale-canc Disc_2022
MYBL1	CD4-MX1:Chantale-canc Disc_2022
LAG3	CD4-MX1:Chantale-canc Disc_2022
CMPK2	CD4-MX1:Chantale-canc Disc_2022
MLLT3	CD4-MX1:Chantale-canc Disc_2022
STAT1	CD4-MX1:Chantale-canc Disc_2022
LZTR1	CD4-MX1:Chantale-canc Disc_2022
ZNF600	CD4-MX1:Chantale-canc Disc_2022
NFATC2	CD4-MX1:Chantale-canc Disc_2022
CCR5	CD4-MX1:Chantale-canc Disc_2022
NT5C3A	CD4-MX1:Chantale-canc Disc_2022
GZMA	CD4-MX1:Chantale-canc Disc_2022
TRIM22	CD4-MX1:Chantale-canc Disc_2022
PARP15	CD4-MX1:Chantale-canc Disc_2022
CDC14A	CD4-MX1:Chantale-canc Disc_2022
IFITM3	CD4-MX1:Chantale-canc Disc_2022
ANKRD36C	CD4-MX1:Chantale-canc Disc_2022
SAMD3	CD4-MX1:Chantale-canc Disc_2022
IFITM2	CD4-MX1:Chantale-canc Disc_2022
GBP1	CD4-MX1:Chantale-canc Disc_2022
RNF213	CD4-MX1:Chantale-canc Disc_2022
PPM1K	CD4-MX1:Chantale-canc Disc_2022
EPSTI1	CD4-MX1:Chantale-canc Disc_2022
CEBPD	CD4-MX1:Chantale-canc Disc_2022
ISG15	CD4-MX1:Chantale-canc Disc_2022
AP3M2	CD4-MX1:Chantale-canc Disc_2022
DNAJB1	CD4-MX1:Chantale-canc Disc_2022
SAMD9L	CD4-MX1:Chantale-canc Disc_2022
CDK6	CD4-MX1:Chantale-canc Disc_2022
THEMIS	CD4-MX1:Chantale-canc Disc_2022
ZBP1	CD4-MX1:Chantale-canc Disc_2022
XRRA1	CD4-MX1:Chantale-canc Disc_2022
LPIN1	CD4-MX1:Chantale-canc Disc_2022
DIP2A	CD4-MX1:Chantale-canc Disc_2022
NSRP1	CD4-MX1:Chantale-canc Disc_2022
GOLGA4	CD4-MX1:Chantale-canc Disc_2022
OAS3	CD4-MX1:Chantale-canc Disc_2022
SPATS2L	CD4-MX1:Chantale-canc Disc_2022
PFKFB3	CD4-MX1:Chantale-canc Disc_2022
ADAM19	CD4-MX1:Chantale-canc Disc_2022
F2R	CD4-MX1:Chantale-canc Disc_2022
AGO2	CD4-MX1:Chantale-canc Disc_2022
SRRT	CD4-MX1:Chantale-canc Disc_2022
LCP1	CD4-MX1:Chantale-canc Disc_2022
IKZF3	CD4-MX1:Chantale-canc Disc_2022
SYTL2	CD4-MX1:Chantale-canc Disc_2022
SLC7A5	CD4-MX1:Chantale-canc Disc_2022
SERPINB9	CD4-MX1:Chantale-canc Disc_2022
LGALS1	CD4-MX1:Chantale-canc Disc_2022
TMSB10	CD4-MX1:Chantale-canc Disc_2022
SLF1	CD4-MX1:Chantale-canc Disc_2022
TMSB4X	CD4-MX1:Chantale-canc Disc_2022
STOM	CD4-MX1:Chantale-canc Disc_2022
TRIM38	CD4-MX1:Chantale-canc Disc_2022
KIAA1551	CD4-MX1:Chantale-canc Disc_2022
GZMK	CD4-MX1:Chantale-canc Disc_2022
PLSCR1	CD4-MX1:Chantale-canc Disc_2022
SLFN12L	CD4-MX1:Chantale-canc Disc_2022
RANBP2	CD4-MX1:Chantale-canc Disc_2022
UPP1	CD4-MX1:Chantale-canc Disc_2022
CHORDC1	CD4-MX1:Chantale-canc Disc_2022
SAMD9	CD4-MX1:Chantale-canc Disc_2022
BST2	CD4-MX1:Chantale-canc Disc_2022
ALOX5AP	CD4-MX1:Chantale-canc Disc_2022
KANSL1	CD4-MX1:Chantale-canc Disc_2022
LENG8	CD4-MX1:Chantale-canc Disc_2022
FAM160B1	CD4-MX1:Chantale-canc Disc_2022
USP36	CD4-MX1:Chantale-canc Disc_2022
SP110	CD4-MX1:Chantale-canc Disc_2022
PTMS	CD4-MX1:Chantale-canc Disc_2022
TNFSF13B	CD4-MX1:Chantale-canc Disc_2022
EIF2AK2	CD4-MX1:Chantale-canc Disc_2022
ODC1	CD4-MX1:Chantale-canc Disc_2022
C19orf66	CD4-MX1:Chantale-canc Disc_2022
GLIPR2	CD4-MX1:Chantale-canc Disc_2022
KLRG1	CD4-MX1:Chantale-canc Disc_2022
MT2A	CD4-MX1:Chantale-canc Disc_2022
AHNAK	CD4-MX1:Chantale-canc Disc_2022
ADAR	CD4-MX1:Chantale-canc Disc_2022
SUPT3H	CD4-MX1:Chantale-canc Disc_2022
ANKRD36	CD4-MX1:Chantale-canc Disc_2022
CTSL	CD4-MX1:Chantale-canc Disc_2022
IFI16	CD4-MX1:Chantale-canc Disc_2022
LUZP1	CD4-MX1:Chantale-canc Disc_2022
IFI27	CD4-MX1:Chantale-canc Disc_2022
ANXA2	CD4-MX1:Chantale-canc Disc_2022
PPP1R2	CD4-MX1:Chantale-canc Disc_2022
CD96	CD4-MX1:Chantale-canc Disc_2022
SENP7	CD4-MX1:Chantale-canc Disc_2022
H3F3B	CD4-MX1:Chantale-canc Disc_2022
DYNC1H1	CD4-MX1:Chantale-canc Disc_2022
CLDND1	CD4-MX1:Chantale-canc Disc_2022
B4GALT1	CD4-MX1:Chantale-canc Disc_2022
PSME2	CD4-MX1:Chantale-canc Disc_2022
CST7	CD4-MX1:Chantale-canc Disc_2022
TGFBR2	CD4-MX1:Chantale-canc Disc_2022
SCML4	CD4-MX1:Chantale-canc Disc_2022
MAPK1	CD4-MX1:Chantale-canc Disc_2022
GPR174	CD4-MX1:Chantale-canc Disc_2022
C12orf75	CD4-MX1:Chantale-canc Disc_2022
LITAF	CD4-MX1:Chantale-canc Disc_2022
ARAP2	CD4-MX1:Chantale-canc Disc_2022
MAF	CD4-MX1:Chantale-canc Disc_2022
PAXX	CD4-MX1:Chantale-canc Disc_2022
BCL2	CD4-MX1:Chantale-canc Disc_2022
S100A10	CD4-MX1:Chantale-canc Disc_2022
CCNH	CD4-MX1:Chantale-canc Disc_2022
PIM1	CD4-MX1:Chantale-canc Disc_2022
UTRN	CD4-MX1:Chantale-canc Disc_2022
VIM	CD4-MX1:Chantale-canc Disc_2022
PARP8	CD4-MX1:Chantale-canc Disc_2022
ISG20	CD4-MX1:Chantale-canc Disc_2022
HCST	CD4-MX1:Chantale-canc Disc_2022
PTPN4	CD4-MX1:Chantale-canc Disc_2022
MYO9B	CD4-MX1:Chantale-canc Disc_2022
CHST12	CD4-MX1:Chantale-canc Disc_2022
PYHIN1	CD4-MX1:Chantale-canc Disc_2022
GIMAP7	CD4-MX1:Chantale-canc Disc_2022
MYO1F	CD4-MX1:Chantale-canc Disc_2022
TXNIP	CD4-MX1:Chantale-canc Disc_2022
IQGAP2	CD4-MX1:Chantale-canc Disc_2022
FKBP11	CD4-MX1:Chantale-canc Disc_2022
FXYD1	CD4-MX1:Chantale-canc Disc_2022
DDX60L	CD4-MX1:Chantale-canc Disc_2022
CSKMT	CD4-MX1:Chantale-canc Disc_2022
WSB1	CD4-MX1:Chantale-canc Disc_2022
STK17A	CD4-MX1:Chantale-canc Disc_2022
SMCHD1	CD4-MX1:Chantale-canc Disc_2022
MYH9	CD4-MX1:Chantale-canc Disc_2022
TSPYL1	CD4-MX1:Chantale-canc Disc_2022
TANK	CD4-MX1:Chantale-canc Disc_2022
PAG1	CD4-MX1:Chantale-canc Disc_2022
PSMB9	CD4-MX1:Chantale-canc Disc_2022
SELENOS	CD4-MX1:Chantale-canc Disc_2022
GIMAP4	CD4-MX1:Chantale-canc Disc_2022
S100A11	CD4-MX1:Chantale-canc Disc_2022
PLEK	CD4-MX1:Chantale-canc Disc_2022
IKZF1	CD4-MX1:Chantale-canc Disc_2022
FMNL1	CD4-MX1:Chantale-canc Disc_2022
OTUD6B-AS1	CD4-MX1:Chantale-canc Disc_2022
EML4	CD4-MX1:Chantale-canc Disc_2022
MGAT4A	CD4-MX1:Chantale-canc Disc_2022
PARP14	CD4-MX1:Chantale-canc Disc_2022
CD70	CD4-MX1:Chantale-canc Disc_2022
RORA	CD4-MX1:Chantale-canc Disc_2022
CASP8	CD4-MX1:Chantale-canc Disc_2022
PDE4D	CD4-MX1:Chantale-canc Disc_2022
HERC5	CD4-MX1:Chantale-canc Disc_2022
APOL6	CD4-MX1:Chantale-canc Disc_2022
PTGER4	CD4-MX1:Chantale-canc Disc_2022
IFNGR1	CD4-MX1:Chantale-canc Disc_2022
NEAT1	CD4-MX1:Chantale-canc Disc_2022
OGA	CD4-MX1:Chantale-canc Disc_2022
RNF115	CD4-MX1:Chantale-canc Disc_2022
SOCS1	CD4-MX1:Chantale-canc Disc_2022
AC016831.7	CD4-MX1:Chantale-canc Disc_2022
TYMP	CD4-MX1:Chantale-canc Disc_2022
RNMT	CD4-MX1:Chantale-canc Disc_2022
HSH2D	CD4-MX1:Chantale-canc Disc_2022
CD40LG	CD4-MX1:Chantale-canc Disc_2022
CYTIP	CD4-MX1:Chantale-canc Disc_2022
SH3BGRL3	CD4-MX1:Chantale-canc Disc_2022
RAP2B	CD4-MX1:Chantale-canc Disc_2022
UBC	CD4-MX1:Chantale-canc Disc_2022
KLF6	CD4-MX1:Chantale-canc Disc_2022
YWHAH	CD4-MX1:Chantale-canc Disc_2022
CD44	CD4-MX1:Chantale-canc Disc_2022
HMGB2	CD4-MX1:Chantale-canc Disc_2022
GPR65	CD4-MX1:Chantale-canc Disc_2022
ZC3HAV1	CD4-MX1:Chantale-canc Disc_2022
HELB	CD4-MX1:Chantale-canc Disc_2022
CD52	CD4-MX1:Chantale-canc Disc_2022
AKAP9	CD4-MX1:Chantale-canc Disc_2022
RALGAPA1	CD4-MX1:Chantale-canc Disc_2022
TTC14	CD4-MX1:Chantale-canc Disc_2022
B2M	CD4-MX1:Chantale-canc Disc_2022
ADGRE5	CD4-MX1:Chantale-canc Disc_2022
CCR7	CD4-MX1:Chantale-canc Disc_2022
STK17B	CD4-MX1:Chantale-canc Disc_2022
MALAT1	CD4-MX1:Chantale-canc Disc_2022
OGT	CD4-MX1:Chantale-canc Disc_2022
SGK1	CD4-MX1:Chantale-canc Disc_2022
SAT1	CD4-MX1:Chantale-canc Disc_2022
PTTG1	CD4-MX1:Chantale-canc Disc_2022
ARID5B	CD4-MX1:Chantale-canc Disc_2022
CBLB	CD4-MX1:Chantale-canc Disc_2022
TC2N	CD4-MX1:Chantale-canc Disc_2022
RNF125	CD4-MX1:Chantale-canc Disc_2022
TCF25	CD4-MX1:Chantale-canc Disc_2022
RSRP1	CD4-MX1:Chantale-canc Disc_2022
JUN	CD4-MX1:Chantale-canc Disc_2022
ICOS	CD4-MX1:Chantale-canc Disc_2022
RUNX2	CD4-MX1:Chantale-canc Disc_2022
CACYBP	CD4-MX1:Chantale-canc Disc_2022
ERICH1	CD4-MX1:Chantale-canc Disc_2022
CD99	CD4-MX1:Chantale-canc Disc_2022
ODF2L	CD4-MX1:Chantale-canc Disc_2022
CXCR4	CD4-MX1:Chantale-canc Disc_2022
ANXA1	CD4-MX1:Chantale-canc Disc_2022
PHPT1	CD4-MX1:Chantale-canc Disc_2022
UBB	CD4-MX1:Chantale-canc Disc_2022
RHOB	CD4-MX1:Chantale-canc Disc_2022
CRYBG1	CD4-MX1:Chantale-canc Disc_2022
USP8	CD4-MX1:Chantale-canc Disc_2022
DNAJA4	CD4-MX1:Chantale-canc Disc_2022
ARRDC3	CD4-MX1:Chantale-canc Disc_2022
SLC2A3	CD4-MX1:Chantale-canc Disc_2022
GCC2	CD4-MX1:Chantale-canc Disc_2022
SPOCK2	CD4-MX1:Chantale-canc Disc_2022
SYNE2	CD4-MX1:Chantale-canc Disc_2022
TPI1	CD4-MX1:Chantale-canc Disc_2022
PIK3R1	CD4-MX1:Chantale-canc Disc_2022
IFI44	CD4-MX1:Chantale-canc Disc_2022
IL10RA	CD4-MX1:Chantale-canc Disc_2022
SMG1	CD4-MX1:Chantale-canc Disc_2022
ANKRD12	CD4-MX1:Chantale-canc Disc_2022
CHD2	CD4-MX1:Chantale-canc Disc_2022
TNRC6B	CD4-MX1:Chantale-canc Disc_2022
ITK	CD4-MX1:Chantale-canc Disc_2022
OFD1	CD4-MX1:Chantale-canc Disc_2022
STK4	CD4-MX1:Chantale-canc Disc_2022
S100A4	CD4-MX1:Chantale-canc Disc_2022
FKBP4	CD4-MX1:Chantale-canc Disc_2022
IPCEF1	CD4-MX1:Chantale-canc Disc_2022
KMT2E	CD4-MX1:Chantale-canc Disc_2022
GADD45G	CD4-MX1:Chantale-canc Disc_2022
MID1IP1	CD4-MX1:Chantale-canc Disc_2022
GBP5	CD4-MX1:Chantale-canc Disc_2022
SDCBP	CD4-MX1:Chantale-canc Disc_2022
TRBC2	CD4-MX1:Chantale-canc Disc_2022
COTL1	CD4-MX1:Chantale-canc Disc_2022
CD6	CD4-MX1:Chantale-canc Disc_2022
EMP3	CD4-MX1:Chantale-canc Disc_2022
SLC4A7	CD4-MX1:Chantale-canc Disc_2022
TRIM33	CD4-MX1:Chantale-canc Disc_2022
