Genes	Subtypes
KIF14	Cycling:Chantale-canc Disc_2022
ISG15	Cycling:Chantale-canc Disc_2022
MGP	Cycling:Chantale-canc Disc_2022
MIS18BP1	Cycling:Chantale-canc Disc_2022
MT1X	Cycling:Chantale-canc Disc_2022
C17orf49	Cycling:Chantale-canc Disc_2022
RBPJ	Cycling:Chantale-canc Disc_2022
BAX	Cycling:Chantale-canc Disc_2022
ENTPD1	Cycling:Chantale-canc Disc_2022
CD38	Cycling:Chantale-canc Disc_2022
LINC02446	Cycling:Chantale-canc Disc_2022
HNRNPH1	Cycling:Chantale-canc Disc_2022
MYBL2	Cycling:Chantale-canc Disc_2022
ATAD5	Cycling:Chantale-canc Disc_2022
HIST1H1D	Cycling:Chantale-canc Disc_2022
MRPS6	Cycling:Chantale-canc Disc_2022
LINC01943	Cycling:Chantale-canc Disc_2022
EIF4EBP1	Cycling:Chantale-canc Disc_2022
TNFRSF4	Cycling:Chantale-canc Disc_2022
SPATS2L	Cycling:Chantale-canc Disc_2022
HIST1H2AG	Cycling:Chantale-canc Disc_2022
FOXP3	Cycling:Chantale-canc Disc_2022
MBD2	Cycling:Chantale-canc Disc_2022
CDC42	Cycling:Chantale-canc Disc_2022
ITGAE	Cycling:Chantale-canc Disc_2022
RSRC1	Cycling:Chantale-canc Disc_2022
CD70	Cycling:Chantale-canc Disc_2022
CTNNAL1	Cycling:Chantale-canc Disc_2022
TNFRSF18	Cycling:Chantale-canc Disc_2022
CBFB	Cycling:Chantale-canc Disc_2022
HIST1H2BH	Cycling:Chantale-canc Disc_2022
BTG3	Cycling:Chantale-canc Disc_2022
CTLA4	Cycling:Chantale-canc Disc_2022
PRSS1	Cycling:Chantale-canc Disc_2022
DDB2	Cycling:Chantale-canc Disc_2022
PIF1	Cycling:Chantale-canc Disc_2022
FCER1G	Cycling:Chantale-canc Disc_2022
CD82	Cycling:Chantale-canc Disc_2022
ATP1B3	Cycling:Chantale-canc Disc_2022
YWHAB	Cycling:Chantale-canc Disc_2022
TUBA4A	Cycling:Chantale-canc Disc_2022
LRRFIP1	Cycling:Chantale-canc Disc_2022
APOLD1	Cycling:Chantale-canc Disc_2022
HIST1H2BJ	Cycling:Chantale-canc Disc_2022
GLRX	Cycling:Chantale-canc Disc_2022
ARF6	Cycling:Chantale-canc Disc_2022
PTP4A3	Cycling:Chantale-canc Disc_2022
HIST1H2AL	Cycling:Chantale-canc Disc_2022
FKBP2	Cycling:Chantale-canc Disc_2022
VCAM1	Cycling:Chantale-canc Disc_2022
LYST	Cycling:Chantale-canc Disc_2022
HIST2H2AB	Cycling:Chantale-canc Disc_2022
PHLDA1	Cycling:Chantale-canc Disc_2022
APOBEC3G	Cycling:Chantale-canc Disc_2022
CDKN1A	Cycling:Chantale-canc Disc_2022
GZMK	CD8-GZMK:Chantale-canc Disc_2022
CD74	CD8-GZMK:Chantale-canc Disc_2022
CMC1	CD8-GZMK:Chantale-canc Disc_2022
CST7	CD8-GZMK:Chantale-canc Disc_2022
CLDND1	CD8-GZMK:Chantale-canc Disc_2022
DUSP2	CD8-GZMK:Chantale-canc Disc_2022
GZMA	CD8-GZMK:Chantale-canc Disc_2022
PTPRC	CD8-GZMK:Chantale-canc Disc_2022
KLRG1	CD8-GZMK:Chantale-canc Disc_2022
SH2D1A	CD8-GZMK:Chantale-canc Disc_2022
PTP4A2	CD8-GZMK:Chantale-canc Disc_2022
LIMD2	CD8-GZMK:Chantale-canc Disc_2022
CCL4	CD8-GZMK:Chantale-canc Disc_2022
CD27	CD8-GZMK:Chantale-canc Disc_2022
ITM2A	CD8-GZMK:Chantale-canc Disc_2022
RARRES3	CD8-GZMK:Chantale-canc Disc_2022
LINC00861	CD8-GZMK:Chantale-canc Disc_2022
GIMAP4	CD8-GZMK:Chantale-canc Disc_2022
COTL1	CD8-GZMK:Chantale-canc Disc_2022
LYST	CD8-GZMK:Chantale-canc Disc_2022
DTHD1	CD8-GZMK:Chantale-canc Disc_2022
GIMAP7	CD8-GZMK:Chantale-canc Disc_2022
EOMES	CD8-GZMK:Chantale-canc Disc_2022
FYN	CD8-GZMK:Chantale-canc Disc_2022
CCL5	CD8-GZMK:Chantale-canc Disc_2022
RGS1	CD8-GZMK:Chantale-canc Disc_2022
SAMD3	CD8-GZMK:Chantale-canc Disc_2022
DKK3	CD8-GZMK:Chantale-canc Disc_2022
PYHIN1	CD8-GZMK:Chantale-canc Disc_2022
GPR183	CD8-GZMK:Chantale-canc Disc_2022
LYAR	CD8-GZMK:Chantale-canc Disc_2022
MALAT1	CD8-GZMK:Chantale-canc Disc_2022
FCMR	CD8-GZMK:Chantale-canc Disc_2022
CEMIP2	CD8-GZMK:Chantale-canc Disc_2022
CCL4L2	CD8-GZMK:Chantale-canc Disc_2022
CD44	CD8-GZMK:Chantale-canc Disc_2022
PIK3R1	CD8-GZMK:Chantale-canc Disc_2022
TC2N	CD8-GZMK:Chantale-canc Disc_2022
ITGB2	CD8-GZMK:Chantale-canc Disc_2022
GPR174	CD8-GZMK:Chantale-canc Disc_2022
PASK	CD8-GZMK:Chantale-canc Disc_2022
CYTOR	CD8-GZMK:Chantale-canc Disc_2022
LITAF	CD8-GZMK:Chantale-canc Disc_2022
CD2	CD8-GZMK:Chantale-canc Disc_2022
PDCD4	CD8-GZMK:Chantale-canc Disc_2022
ISG20	CD8-GZMK:Chantale-canc Disc_2022
ATM	CD8-GZMK:Chantale-canc Disc_2022
GZMM	CD8-GZMK:Chantale-canc Disc_2022
TIGIT	CD8-GZMK:Chantale-canc Disc_2022
NKG7	CD8-GZMK:Chantale-canc Disc_2022
CRTAM	CD8-GZMK:Chantale-canc Disc_2022
RSRP1	CD8-GZMK:Chantale-canc Disc_2022
IFNG-AS1	CD8-GZMK:Chantale-canc Disc_2022
ITM2C	CD8-GZMK:Chantale-canc Disc_2022
STK17A	CD8-GZMK:Chantale-canc Disc_2022
BTN3A2	CD8-GZMK:Chantale-canc Disc_2022
IFI16	CD8-GZMK:Chantale-canc Disc_2022
ARID5B	CD8-GZMK:Chantale-canc Disc_2022
FAM102A	CD8-GZMK:Chantale-canc Disc_2022
PSMB9	CD8-GZMK:Chantale-canc Disc_2022
CNOT6L	CD8-GZMK:Chantale-canc Disc_2022
HNRNPLL	CD8-GZMK:Chantale-canc Disc_2022
LUC7L3	CD8-GZMK:Chantale-canc Disc_2022
SMCHD1	CD8-GZMK:Chantale-canc Disc_2022
SYNE1	CD8-GZMK:Chantale-canc Disc_2022
BTG1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
ZFP36L2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CXCR4	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CD69	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
IL7R	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
ZFP36	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
TSC22D3	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
KLRB1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
TXNIP	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
KLRC1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CD8A	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
JUNB	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
JUN	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
