Genes	Subtype
SELL	Naive CD8+ T cells:SCTyper
CCR7	Naive CD8+ T cells:SCTyper
GNLY	Naive CD8+ T cells:SCTyper
Trac	Naive CD8+ T cells:SCTyper
Ltb	Naive CD8+ T cells:SCTyper
Cd52	Naive CD8+ T cells:SCTyper
Trbc2	Naive CD8+ T cells:SCTyper
Shisa5	Naive CD8+ T cells:SCTyper
Lck	Naive CD8+ T cells:SCTyper
Thy1	Naive CD8+ T cells:SCTyper
Dapl1	Naive CD8+ T cells:SCTyper
CD4	Naive CD4+ T cells:SCTyper
CD2	Naive CD4+ T cells:SCTyper
CD3D	Naive CD4+ T cells:SCTyper
CD3E	Naive CD4+ T cells:SCTyper
CD3G	Naive CD4+ T cells:SCTyper
CD3Z	Naive CD4+ T cells:SCTyper
CD45RA	Naive CD4+ T cells:SCTyper
CD62L	Naive CD4+ T cells:SCTyper
CD27	Naive CD4+ T cells:SCTyper
CD127	Naive CD4+ T cells:SCTyper
FOXP3	Naive CD4+ T cells:SCTyper
CCR7	Naive CD4+ T cells:SCTyper
CD45	Naive CD4+ T cells:SCTyper
CCR6	Naive CD4+ T cells:SCTyper
CD11b	Naive CD4+ T cells:SCTyper
CD30	Naive CD4+ T cells:SCTyper
CD6	Naive CD4+ T cells:SCTyper
CTLA4	Naive CD4+ T cells:SCTyper
IL2RA	Naive CD4+ T cells:SCTyper
GZMB	Naive CD4+ T cells:SCTyper
PTPRC	Naive CD4+ T cells:SCTyper
SELL	Naive CD4+ T cells:SCTyper
CCR7	Naive CD4+ T cells:SCTyper
Trac	Naive CD4+ T cells:SCTyper
Ltb	Naive CD4+ T cells:SCTyper
Cd52	Naive CD4+ T cells:SCTyper
Trbc2	Naive CD4+ T cells:SCTyper
Shisa5	Naive CD4+ T cells:SCTyper
Lck	Naive CD4+ T cells:SCTyper
Thy1	Naive CD4+ T cells:SCTyper
Dapl1	Naive CD4+ T cells:SCTyper
CD8	Memory CD8+ T cells:SCTyper
CD2	Memory CD8+ T cells:SCTyper
CD3D	Memory CD8+ T cells:SCTyper
CD3E	Memory CD8+ T cells:SCTyper
CD3G	Memory CD8+ T cells:SCTyper
CD3Z	Memory CD8+ T cells:SCTyper
CD25	Memory CD8+ T cells:SCTyper
CD45RA	Memory CD8+ T cells:SCTyper
CD62L	Memory CD8+ T cells:SCTyper
CD27	Memory CD8+ T cells:SCTyper
CD127	Memory CD8+ T cells:SCTyper
FOXP3	Memory CD8+ T cells:SCTyper
CCR7	Memory CD8+ T cells:SCTyper
CD45	Memory CD8+ T cells:SCTyper
CD8A	Memory CD8+ T cells:SCTyper
CD8B	Memory CD8+ T cells:SCTyper
CCR6	Memory CD8+ T cells:SCTyper
CD11b	Memory CD8+ T cells:SCTyper
CD30	Memory CD8+ T cells:SCTyper
CD45RO	Memory CD8+ T cells:SCTyper
CD6	Memory CD8+ T cells:SCTyper
CTLA4	Memory CD8+ T cells:SCTyper
IL2RA	Memory CD8+ T cells:SCTyper
GZMB	Memory CD8+ T cells:SCTyper
SELL	Memory CD8+ T cells:SCTyper
CCR7	Memory CD8+ T cells:SCTyper
