Genes	Subtype
ANXA1	Resting cells- T:Our Paper
IL7R	Resting cells- T:Our Paper
LMNA	Resting cells- T:Our Paper
CXCL13	Acrtivated T:Our Paper
GZMK	Cytotoxic T:Our Paper
GZMB	Cytotoxic T:Our Paper
IFNG	Cytotoxic T:Our Paper
PRF1	Cytotoxic T:Our Paper
CCL4	Cytotoxic T:Our Paper
CXCL13	Activated:Our Paper
LAG3	exhaustion T:Our Paper
HAVCR2	exhaustion T:Our Paper
CD96	exhaustion T:Our Paper
EOMES	pre-dysfunctional:Our Paper
KLRG1	pre-dysfunctional:Our Paper
ADEL'S PAPER	
CFH	Squamous-like: Adel
CD99	Squamous-like: Adel
HECW1	Squamous-like: Adel
PLXND1	Squamous-like: Adel
RECQL	Squamous-like: Adel
C1ORF112	Squamous-like: Adel
M6PR	Squamous-like: Adel
FKBP4	Squamous-like: Adel
GGCT	Squamous-like: Adel
DBF4	Squamous-like: Adel
SEMA3F	Squamous-like: Adel
ANKIB1	Squamous-like: Adel
MAD1L1	Squamous-like: Adel
CDC27	Squamous-like: Adel
WDR54	Squamous-like: Adel
DPM1	Squamous-like: Adel
NME2	Squamous-like: Adel
UTP18	Squamous-like: Adel
SLC25A39	Squamous-like: Adel
TTC27	Squamous-like: Adel
PANCREATIC PROGENITOR	
ENPP4	Pancreatic Progenitor:Adel
CFTR	Pancreatic Progenitor:Adel
CYP51A1	Pancreatic Progenitor:Adel
ABP1	Pancreatic Progenitor:Adel
LASP1	Pancreatic Progenitor:Adel
TMEM176A	Pancreatic Progenitor:Adel
ICA1	Pancreatic Progenitor:Adel
DBNDD1	Pancreatic Progenitor:Adel
CASP10	Pancreatic Progenitor:Adel
SARM1	Pancreatic Progenitor:Adel
UPF1	Pancreatic Progenitor:Adel
ACSM3	Pancreatic Progenitor:Adel
SPPL2B	Pancreatic Progenitor:Adel
PDK2	Pancreatic Progenitor:Adel
OSBPL7	Pancreatic Progenitor:Adel
TMEM98	Pancreatic Progenitor:Adel
BAIAP2L1	Pancreatic Progenitor:Adel
ALDH3B1	Pancreatic Progenitor:Adel
TTC22	Pancreatic Progenitor:Adel
FARP2	Pancreatic Progenitor:Adel
QUASI-MESANCHYMAL	
AIM2	Quasi-Mesanchymal:Adel
CALHM6	Quasi-Mesanchymal:Adel
GPM6B	Quasi-Mesanchymal:Adel
S100A2	Quasi-Mesanchymal:Adel
KRT14	Quasi-Mesanchymal:Adel
CAV1	Quasi-Mesanchymal:Adel
LOX	Quasi-Mesanchymal:Adel
SLC2A3	Quasi-Mesanchymal:Adel
TWIST1	Quasi-Mesanchymal:Adel
PAPPA	Quasi-Mesanchymal:Adel
NT5E	Quasi-Mesanchymal:Adel
CKS2	Quasi-Mesanchymal:Adel
HMMR	Quasi-Mesanchymal:Adel
SLC5A3	Quasi-Mesanchymal:Adel
PMAIP1	Quasi-Mesanchymal:Adel
PHLDA1	Quasi-Mesanchymal:Adel
SLC16A1	Quasi-Mesanchymal:Adel
CLASSICAL	
FERMT1	Classical:Adel-Collison
